+-----------------------------------------------+---------+--------------------------+
| Workspace                                     | Version | Latest Change            |
| regional-zonal-disk-migration                 |   1.2.3 | 2023-02-02T21:29:45.255Z |
| rombuild-jenkins-master                       |   1.2.3 | 2023-02-03T19:52:12.808Z |
| dev-firestore                                 |   1.2.3 | 2023-02-03T22:50:04.369Z |
| clover-preprod-in-databases                   |   1.2.3 | 2023-02-07T17:45:24.988Z |
| sportplatform-int                             |   1.2.3 | 2023-02-07T22:28:05.302Z |
| devops-provision                              |   1.2.3 | 2023-02-09T18:21:08.997Z |
| ns1-prod-clover-com                           |   1.2.3 | 2023-02-23T06:04:30.391Z |
| euprod-zonal                                  |   1.2.3 | 2023-02-27T23:27:56.065Z |
| grafana-cloud                                 |   1.2.3 | 2023-02-27T23:30:48.883Z |
| images                                        |   1.2.3 | 2023-02-28T17:59:54.990Z |
| laprod                                        |   1.2.3 | 2023-02-28T21:18:08.582Z |
| usprod-dsm                                    |   1.2.3 | 2023-02-28T23:41:07.671Z |
| corp-firestore                                |   1.2.3 | 2023-03-01T18:07:06.870Z |
| usprod                                        |   1.2.3 | 2023-03-01T22:12:13.642Z |
| corp-managed                                  |   1.2.3 | 2023-03-03T20:41:24.440Z |
| corp-unmanaged                                |   1.2.3 | 2023-03-03T20:58:28.865Z |
| naprod-kubernetes-us-central1-cluster         |   1.2.3 | 2023-03-06T20:37:35.484Z |
| naprod-kubernetes-us-central1-resources       |   1.2.3 | 2023-03-07T07:16:35.440Z |
| pciprod                                       |   1.2.3 | 2023-03-07T22:59:29.591Z |
| admin-plane                                   |   1.2.3 | 2023-03-08T15:21:28.027Z |
| project-manager-sandbox                       |   1.2.3 | 2023-03-09T02:00:11.865Z |
| vault-prod                                    |   1.2.3 | 2023-03-11T02:06:02.741Z |
| vault-dev                                     |   1.2.3 | 2023-03-11T02:13:58.876Z |
| vault-admin                                   |   1.2.3 | 2023-03-11T02:44:54.005Z |
| dev3                                          |   1.2.3 | 2023-03-12T04:25:40.296Z |
| naprodpci-us-central1-kubernetes-cluster      |   1.2.3 | 2023-03-12T19:31:25.381Z |
| naprodpci-us-east4-kubernetes-cluster         |   1.2.3 | 2023-03-12T19:32:36.784Z |
| customers-microservice-alerts                 |   1.2.3 | 2023-03-13T16:51:25.425Z |
| nit-cloudfunctions-prod                       |   1.2.3 | 2023-03-13T17:08:48.446Z |
| naprodpci-us-central1-kubernetes-resources    |   1.2.3 | 2023-03-13T21:24:57.602Z |
| naprodpci-us-east4-kubernetes-resources       |   1.2.3 | 2023-03-13T22:40:39.356Z |
| nastagingpci-kubernetes-us-central1-resources |   1.2.3 | 2023-03-14T17:33:19.124Z |
| dev1                                          |   1.2.3 | 2023-03-14T22:32:46.644Z |
| ns1-clover-com                                |   1.2.3 | 2023-03-16T22:32:42.714Z |
| ns1-dev-clover-com                            |   1.2.3 | 2023-03-16T22:51:18.483Z |
| nit-cloudfunctions-nonprod                    |   1.2.3 | 2023-03-17T15:58:16.444Z |
| network-vars                                  |   1.2.3 | 2023-03-17T20:23:35.858Z |
| euprod                                        |   1.2.3 | 2023-03-20T13:17:34.617Z |
| sentinel-policies                             |   1.2.3 | 2023-03-20T18:13:51.355Z |
| container-registries-manager                  |   1.2.3 | 2023-03-20T22:19:04.136Z |
| snyk                                          |   1.2.3 | 2023-03-21T09:11:09.320Z |
| project-manager                               |   1.2.3 | 2023-03-21T14:49:16.327Z |
| nastagingpci-kubernetes-us-central1-cluster   |   1.2.3 | 2023-03-22T02:55:34.807Z |
| dba-test                                      |   1.2.3 | 2023-03-22T02:59:51.586Z |
| tfe-example-ws                                |   1.2.3 | 2023-03-22T04:08:00.844Z |
| nastaging-apps                                |   1.2.3 | 2023-03-22T17:47:30.521Z |
| nastagingpci-apps                             |   1.2.3 | 2023-03-22T17:48:26.133Z |
| nastaging-kubernetes-us-east4-resources       |   1.2.3 | 2023-03-22T22:06:54.964Z |
| nastaging-kubernetes-us-east4-cluster         |   1.2.3 | 2023-03-24T17:09:55.199Z |
| ns1-corp-clover-com                           |   1.2.3 | 2023-03-24T21:11:04.597Z |
| project-manager-non-prod                      |   1.2.3 | 2023-03-25T00:47:56.439Z |
| laas-container-master                         |   1.2.3 | 2023-03-25T16:00:37.540Z |
| dev-kubernetes                                |   1.2.3 | 2023-03-27T18:56:12.195Z |
| nastagingpci-kubernetes-us-east4-cluster      |   1.2.3 | 2023-03-27T20:42:08.027Z |
| nastagingpci-kubernetes-us-east4-resources    |   1.2.3 | 2023-03-27T21:39:46.020Z |
| stg4                                          |   1.2.3 | 2023-03-28T11:48:32.100Z |
| stg1                                          |   1.2.3 | 2023-03-28T11:53:45.594Z |
| prod-apps                                     |   1.2.3 | 2023-03-28T15:20:31.443Z |
| naprod-us-east4-kubernetes-cluster            |   1.2.3 | 2023-03-28T20:29:19.126Z |
| jenkins                                       |   1.2.3 | 2023-03-29T02:42:30.265Z |
| spring-boot-apps-dev                          |   1.2.3 | 2023-03-29T04:12:38.450Z |
| prod-kubernetes                               |   1.2.3 | 2023-03-29T17:33:13.075Z |
| dev-managed                                   |   1.2.3 | 2023-03-29T20:14:10.025Z |
| pagerduty                                     |   1.2.3 | 2023-03-29T20:40:24.206Z |
| na-grafana-alerts                             |   1.2.3 | 2023-03-29T20:55:14.189Z |
| composer-dev                                  |   1.2.3 | 2023-03-29T21:55:21.725Z |
| prod-databases                                |   1.2.3 | 2023-03-30T00:55:53.131Z |
| artifactory-corp                              |   1.2.3 | 2023-03-30T01:10:27.079Z |
| kubernetes-workspaces                         |   1.2.3 | 2023-03-30T01:12:52.978Z |
| naprod-us-east4-kubernetes-resources          |   1.2.3 | 2023-03-30T01:24:22.649Z |
| admin-kubernetes                              |   1.2.3 | 2023-03-30T15:22:20.737Z |
| sandbox-kubernetes                            |   1.2.3 | 2023-03-30T21:48:00.243Z |
| dev-grafana-alerts                            |   1.2.3 | 2023-03-30T22:06:38.473Z |
| eu-grafana-alerts                             |   1.2.3 | 2023-03-30T22:08:51.488Z |
| la-grafana-alerts                             |   1.2.3 | 2023-03-30T22:10:29.548Z |
| data-platform-dev                             |   1.2.3 | 2023-03-31T00:22:15.568Z |
| gcp-iam                                       |   1.2.3 | 2023-03-31T18:09:53.630Z |
| metaresources                                 |   1.2.3 | 2023-03-31T19:34:13.485Z |
| nastaging-kubernetes                          |   1.2.3 | 2023-03-31T20:33:48.495Z |
| rundeck-network-infra                         |   1.2.3 | 2023-03-31T22:29:12.335Z |
| tfe-permissions                               |   1.2.3 | 2023-03-31T22:49:49.630Z |
| wavefront                                     |   1.2.3 | 2023-03-31T23:12:47.446Z |
| nit-repos                                     |   1.2.3 | 2023-04-01T03:55:44.588Z |
+-----------------------------------------------+---------+--------------------------+
